,type,in_strength_1,in_strength_2,out_strength_1,out_strength_2,in_out_strength_1,in_out_strength_2,motif_4_1,motif_4_2,motif_5_1,motif_5_2,motif_6_1,motif_6_2,motif_7_1,motif_7_2,motif_8_1,motif_8_2,motif_9_1,motif_9_2,motif_10_1,motif_10_2,motif_11_1,motif_11_2,motif_12_1,motif_12_2,motif_13_1,motif_13_2,motif_14_1,motif_14_2,motif_15_1,motif_15_2,motif_16_1,motif_16_2,NetEMD_upper_1,NetEMD_upper_2,NetEMD_lower_1,NetEMD_lower_2,NetEMD_comb_1,NetEMD_comb_2,NetEMD_rw_1,NetEMD_rw_2,gaw_score,gaw10_score,gaw20_score,degree_std,first_density,second_density,third_density,small_community,first_strength,second_strength,upper_ipr_1,upper_exp_1,upper_ipr_2,upper_exp_2,upper_ipr_3,upper_exp_3,upper_ipr_4,upper_exp_4,upper_ipr90,upper_abs90,upper_sign_stat_1,upper_sign_stat_2,upper_sign_equal_1,upper_sign_equal_2,upper_absolute_value,lower_ipr_1,lower_exp_1,lower_ipr_2,lower_exp_2,lower_ipr_3,lower_exp_3,lower_ipr_4,lower_exp_4,lower_ipr90,lower_abs90,lower_sign_stat_1,lower_sign_stat_2,lower_sign_equal_1,lower_sign_equal_2,lower_absolute_value,comb_ipr_1,comb_exp_1,comb_ipr_2,comb_exp_2,comb_ipr_3,comb_exp_3,comb_ipr_4,comb_exp_4,comb_ipr90,comb_abs90,comb_sign_stat_1,comb_sign_stat_2,comb_sign_equal_1,comb_sign_equal_2,comb_absolute_value,rw_ipr_1,rw_exp_1,rw_ipr_2,rw_exp_2,rw_ipr_3,rw_exp_3,rw_ipr_4,rw_exp_4,rw_ipr90,rw_abs90,rw_sign_stat_1,rw_sign_stat_2,rw_sign_equal_1,rw_sign_equal_2,rw_absolute_value,path_2,path_3,path_4,path_5,path_6,path_7,path_8,path_9,path_10,path_11,path_12,path_13,path_14,path_15,path_16,path_17,path_18,path_19,path_20
0,tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1335343800433124,1.894112492276937,1.2296501870417917,1.9109526618208668,0.01504687135292021,0.0,0,1.4429180163458983,0.01136155918382597,2.0982245610492005,0.0,9.790385359110967,10.461578462683287,0.0,0.0,16.845992597069802,9.650880798106204,0.0,0.0,0.0,0.0,0.0,0.0,1.9513797153497638,0.0,0.0,11.255678191078005,12.516640175187852,2.2914296605010698,3.5170313346159965,20.881714733566767,21.754446313594915,0.0,0.0,0.0,0.0,0.0,0.0,2.4942614661087896,0.0,0.0,22.38168020811501,24.776483077605455,16.0,16.0,18.89863197314476,16.972059479072936,0.0,0.0,0.0,0.0,0.0,0.0,1.0475804324390199,0.0,0.0,10.052189139629258,10.601101530491874,8.0,8.0,30.82744315173163,26.639399539987032,0.0,0.0,0.0,0.0,0.0,0.0,1.7590870032496182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6284162265000749,0.0,0.629371103818255,0.0,0.4399611416802979,0.4885456184348918,0.0,0.0,0.10705982232163028
14,star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5337105018326701,3.3474124703152515,0.0434728892248734,3.233883919087799,0,1.8450570686175864,0.023961780111916707,6.497956443167302,5.891728445317282,0.0,0.0,0.0,0.0,0.0,0.0,15.903198529025985,12.762190104496268,10.742155043955362,0.20471672986990003,0.0,0.0,1.233622349520746,18.26042941481304,16.47258212632738,0.0,0.0,0.0,0.0,2.1427580216797213,0.0,12.980742588265027,17.945942082832374,5.813896080876979,0.12272511473976172,0.0,0.0,1.6857784658244097,1.7128165781270592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23555288956976,16.854818438107582,1.8924978353196071,0.03784995670639214,0.0,0.0,0.9993604166957097,16.483224424434336,14.198888157171952,0.0,0.0,0.0,0.0,0.0,0.0,10.897434110707643,6.980661474387691,3.4202953917344803,0.06395555295037733,0.0,0.0,1.3864055483473674,0.9400419701369513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5995443044228406,0.03226824886617141,0.0,0.0,0.29125578239127536,0.0,0.0,0.0,0.0
36,path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935756738896048,12.666798533237985,0.30159044126757106,8.0,0,2.4940815506164347,0.05938289406229606,2.4468558435632435,1.893862142893273,0.0,0.0,0.0,0.0,4.853762982547174,2.50331819721037,0.0,0.0,0.0,0.0,0.0,0.0,1.224350333961499,0.0,0.0,0.0,0.0,0.0,2.5565580876705947,1.9619343428702531,2.0594897725428996,0.0,0.0,0.0,0.0,0.0,0.0,2.581704620512669,0.0,0.0,6.522117017061129,7.516946349725888,0.0,0.0,2.0677424996306106,1.6723682669282605,2.4052861112714323,0.0,0.0,0.0,0.0,0.0,1.85169612831228,0.0,0.0,3.0419115418204026,3.7691806545991717,8.0,8.0,1.6508627294638372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3679217350542388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04031691698475918,0.37621977016128805,0.0,0.2917858700701342,0.0,0.5402794517309799,0.0,0.0,0.0,0.0
46,path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0827034629689198,12.666798533237985,0.30159044126757106,8.0,0,2.4940815506164347,0.05938289406229606,2.4468558435632435,1.893862142893273,0.0,0.0,0.0,0.0,4.853762982547174,2.50331819721037,0.0,0.0,0.0,0.0,0.0,0.0,1.709293380408128,0.0,0.0,0.0,0.0,0.0,2.5565580876705947,1.9619343428702531,2.0594897725428996,0.0,0.0,0.0,0.0,0.0,0.0,2.186925076528597,0.0,0.0,6.522117017061129,7.516946349725888,0.0,0.0,2.0677424996306106,1.6723682669282605,2.4052861112714323,0.0,0.0,0.0,0.0,0.0,1.7329859895417445,0.0,0.0,3.0419115418204026,3.7691806545991717,8.0,8.0,1.6508627294638372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7058597889851708,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005869830335713246,0.0,0.0,0.0,0.0,0.0,0.3199435770594341,0.015640893980953766,0.09045765911489466,0.0,0.0
48,star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05407639445881714,12.666798533237985,0.30159044126757106,8.0,0,2.4940815506164347,0.05938289406229606,2.419486108852538,1.8523648091298133,0.0,0.0,0.0,0.0,0.0,0.0,1.869781534124995,0.0,0.0,0.0,0.0,0.0,1.5985317747541374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0708516927480503,0.0,0.0,0.0,0.0,0.0,1.8923038074548495,4.145363826397256,6.058128025805462,4.458034065733146,4.71019226152085,0.0,0.0,2.4531277357836476,1.990745118680548,1.7602160821154056,0.0,0.0,0.0,0.0,0.0,0.9953284100853724,4.43527030358593,1.814271468058605,0.0,0.0,0.0,0.0,0.0,0.0,3.8120088081304853,0.0,0.0,0.0,0.0,0.0,1.3229073491157022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09531745624670537,0.0,0.0,0.0
50,ring,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2.888214499609589,2.128045234184983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0827034629689198,8.066652024495491,0.3102558470959804,8.0,0,2.1729556967205785,0.08357521910463764,6.497956443167302,5.891728445317282,0.0,0.0,0.0,0.0,0.0,0.0,15.903198529025985,12.762190104496268,5.381142986760564,0.10345386606544218,0.0,0.0,1.834499926242302,18.26042941481304,16.47258212632738,0.0,0.0,0.0,0.0,2.1427580216797213,0.0,12.980742588265027,17.945942082832374,3.63057101425482,0.07511828975004299,0.0,0.0,1.745017443805803,1.7128165781270592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.23555288956976,16.854818438107582,3.9251939158494755,0.08624748243329376,0.0,0.0,0.5798570057385455,16.483224424434336,14.198888157171952,0.0,0.0,0.0,0.0,0.0,0.0,10.897434110707643,6.980661474387691,8.914157934090756,0.17655972313729665,0.0,0.0,0.9365664663319205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.217433073296823,0.25061375740931763,0.0,0.0,0.0,0.0,0.0,0.0,0.09104871336061979,0.0,0.0
79,path,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.935756738896048,12.666798533237985,0.30159044126757106,8.0,0,2.4940815506164347,0.05938289406229606,10.90991452164338,9.601292047350874,0.0,1.790236877445634,8.0,6.384969191163139,0.0,0.0,4.93550073688804,5.25106107211911,1.6663699894888508,0.033327399789777015,0.0,0.0,1.194639256323979,5.968598721577869,3.6424551370077847,0.0,0.0,0.0,0.0,0.0,0.0,8.04798350165667,5.461388553636891,0.0,0.0,0.0,0.0,2.156373239028661,23.96469085644802,24.521754026319606,6.370457160248768,6.438562633984359,4.441520204395468,4.245616968388607,3.9969227578120723,1.673822883543385,4.333871523704431,7.913665789869661,5.176694137424956,0.11284544147453313,0.0,0.0,0.9638844422493585,12.26529748736804,7.254651374503982,0.0,0.0,0.0,0.0,0.0,0.0,10.811100911745932,0.0,0.0,0.0,0.0,0.0,1.2771758032135718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30600905962000075,0.5140725134229003,0.0,0.0,0.0,0.4310525856695649,0.0,0.0,0.0,0.0
98,star,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6418632907503045,12.666798533237985,0.30159044126757106,8.0,0,2.4940815506164347,0.05938289406229606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.25969013297548,0.0,0.0,0.0,0.0,0.0,1.0239649537325524,0.0,0.0,2.396616016382758,2.6708389331577407,0.0,0.0,0.0,0.0,2.5019950145268735,0.0,0.0,0.0,0.0,0.0,2.0786971953873397,4.267491530611255,2.173443242279127,14.747490466558922,14.101155685025482,0.0,0.0,4.5437919219859415,3.730921522843105,2.796345314326522,0.0,0.0,0.0,0.0,0.0,1.4591268340772405,0.0,0.0,5.276951970202574,5.697144944902718,5.841585689785807,5.758372957545303,4.851309793382858,4.689624246851926,0.0,0.0,0.0,0.0,0.0,0.0,1.8476584849721565,0.19494477587130066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6628553182015102,0.0,0.0,0.0,0.20039077327005536,0.0,0.0,0.0,0.0,0.0,0.0
168,tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9432907262275514,0.0,0.6418632907503045,1.9109526618208668,0.01504687135292021,0.0,0,1.4429180163458983,0.01136155918382597,2.0982245610492005,0.0,9.790385359110967,10.461578462683287,0.0,0.0,16.845992597069802,9.650880798106204,0.0,0.0,0.0,0.0,0.0,0.0,2.1695780866813426,0.0,0.0,11.255678191078005,12.516640175187852,2.2914296605010698,3.5170313346159965,20.881714733566767,21.754446313594915,0.0,0.0,0.0,0.0,0.0,0.0,2.2149526949416094,0.0,0.0,22.38168020811501,24.776483077605455,16.0,16.0,18.89863197314476,16.972059479072936,0.0,0.0,0.0,0.0,0.0,0.0,1.549767414041392,0.0,0.0,10.052189139629258,10.601101530491874,8.0,8.0,30.82744315173163,26.639399539987032,0.0,0.0,0.0,0.0,0.0,0.0,1.7429402692586957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1777833627424096,0.0,0.45649937904100224,0.0,0.2505148240499567,0.0,0.35743420436333323,0.0,0.08338415381121345,0.0,0.0
175,tree,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1016141003481277,0.0,0.0,0.20102311853168897,1.9109526618208668,0.01504687135292021,0.0,0,1.4429180163458983,0.01136155918382597,2.0982245610492005,0.0,9.790385359110967,10.461578462683287,0.0,0.0,16.845992597069802,9.650880798106204,0.0,0.0,0.0,0.0,0.0,0.0,2.354942079559912,0.0,0.0,11.255678191078005,12.516640175187852,2.2914296605010698,3.5170313346159965,20.881714733566767,21.754446313594915,0.0,0.0,0.0,0.0,0.0,0.0,1.9338945049087115,0.0,0.0,22.38168020811501,24.776483077605455,16.0,16.0,18.89863197314476,16.972059479072936,0.0,0.0,0.0,0.0,0.0,0.0,1.148254958295734,0.0,0.0,10.052189139629258,10.601101530491874,8.0,8.0,30.82744315173163,26.639399539987032,0.0,0.0,0.0,0.0,0.0,0.0,1.7138562545414382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1836930932431894,0.1648359907413759,0.0,0.0,0.0,0.4401722704659564,0.0,0.0,0.0,0.0
